d,A* h1,d,A* random heuristic,,d,A* h2,,,,,,,,
14,392,16,1754,,14,217,,,,,,,,
14,535,14,881,,14,318,,,,,,,,
14,436,14,516,,14,186,,,,,,,,
14,418,16,1507,,14,121,,,,,,,,
14,268,14,160,,14,41,,,,,,,,
14,548,14,1017,,14,223,,,,,,,,
14,357,14,391,,14,55,,,,,,,,
14,393,16,945,,16,282,,,,,,,,
14,393,14,772,,14,104,,,,,,,,
14,396,14,342,,14,130,,,,,,,,
14,446,14,597,,14,138,,,,,,,,
14,382,14,454,,14,218,,,,,,,,
14,348,14,757,,14,68,,,,,,,,
14,463,14,1292,,14,366,,,,,,,,
14,441,14,362,,14,138,,,,,,,,
14,348,14,330,,14,123,,,,,,,,
14,338,14,397,,14,115,,,,,,,,
14,382,14,1095,,14,220,,,,,,,,
14,362,14,536,,14,51,,,,,,,,
